SectionNum,v_Mean,Jam
1,4.477486939700519,0.0
2,3.5579811097291993,0.0
3,5.565768418730187,0.0
4,3.1606320659032323,0.0
5,nan,nan
6,3.6775769454384077,0.0
7,nan,nan
8,4.439532793615405,0.05540720961281709
9,3.4715162284370686,0.14763231197771587
10,2.963006701299388,0.0
11,3.8442588453724835,0.0
12,nan,nan
13,nan,nan
14,3.3243773120349696,0.03837798696596669
15,4.563888548011716,0.015228426395939087
16,nan,nan
17,3.9610720903068715,0.0041928721174004195
18,3.6339827032789938,0.0
19,4.426127353551581,0.0
20,2.6480943548900906,0.008912655971479501
21,3.7636649344177076,0.046242774566473986
22,3.498577632908995,0.0008598452278589854
23,4.3782529863153155,0.0
24,3.315388522150271,0.036036036036036036
25,2.301829604382322,0.0
26,4.495472891436761,0.013648293963254593
27,2.7283606055991703,0.23955267804590935
28,nan,nan
29,4.109931663720435,0.00045167118337850043
30,nan,nan
31,2.9581411989075725,0.04526404023470243
32,4.725515032799176,0.0
33,4.427731882365209,0.0
34,4.2116691319758335,0.0
35,nan,nan
36,3.2955898669905674,0.0453029460811562
37,4.517256089409791,0.0037230081906180195
38,2.6699249970754333,0.02304147465437788
39,3.154463559377363,0.0011367942402425162
40,2.8834281828432258,0.009189842805320435
41,5.090216518831435,0.0
42,3.186726716795282,0.20282602296143656
43,nan,nan
44,4.155578340231044,0.0
45,nan,nan
46,3.6400729182156617,0.002150537634408602
47,4.231559671743664,0.00048007681228996637
48,nan,nan
49,3.4056402806640187,0.00048192771084337347
50,nan,nan
51,1.6859691271810053,0.0
52,3.137393182348693,0.15102639296187684
53,3.2533647538179244,0.011918951132300357
54,3.579214970318609,0.0021390374331550803
55,1.9964736627579254,0.6332094175960347
56,nan,nan
57,nan,nan
58,2.6650193146295558,0.0
59,nan,nan
60,3.3853739244290395,0.0020491803278688526
61,nan,nan
62,3.248569394610738,0.0010256410256410256
63,nan,nan
64,nan,nan
65,2.9306011058235044,0.0395778364116095
66,2.034999612089638,0.23621460506706407
67,nan,nan
68,3.036194524934393,0.07659574468085106
69,3.143867284527274,0.029534398888116747
70,4.723739491939968,0.0
71,nan,nan
72,4.086576121208262,0.0
73,3.7236020057279138,0.03657205240174673
74,2.977163038057815,0.1288256227758007
75,3.2506156101701777,0.004251700680272109
76,4.550352444259444,0.0
77,3.0195830363669005,0.0008673026886383347
78,2.4445325281957597,0.05632618747372846
79,nan,nan
80,nan,nan
81,nan,nan
82,2.5064820135159263,0.014848950332821301
83,3.4550438243422037,0.0
84,3.531732365378451,0.00047036688617121356
85,3.1911869504189947,0.003331945022907122
86,6.239884045634092,0.0
87,4.338995753052889,0.0
88,3.1975790855348776,0.4355694227769111
89,nan,nan
90,3.6068237834328003,0.00101010101010101
91,4.998302828949367,0.0
92,3.3237231090023984,0.0
93,3.7349330216133816,0.0
94,nan,nan
95,3.7737859720864755,0.0
96,4.294532003034436,0.0
97,3.8700688933021086,0.0035915854284248334
98,5.502448502351974,0.014084507042253521
99,4.660352008769614,0.0
100,6.571223702530621,0.0
101,3.085916570353064,0.012983091787439614
102,3.81176881872835,0.0
103,nan,nan
104,3.7434597627366495,0.0
105,nan,nan
106,2.596787354011539,0.0
107,3.304451341804494,0.002074688796680498
108,nan,nan
109,nan,nan
110,3.2963716794404627,0.0056410256410256415
111,4.484482596765521,0.0
112,4.4119941747819205,0.013482101348210134
113,4.543456799368419,0.0004716981132075472
114,2.944971175767363,0.00390625
115,nan,nan
116,3.8099493482789795,0.0
117,3.0039056368249533,0.12043189368770764
118,6.272854651839395,0.046511627906976744
119,1.9568854907944293,0.006339144215530904
120,2.9001229105728914,0.0
121,3.008134475338626,0.006112469437652812
122,nan,nan
123,2.761516315655904,0.0
124,3.6273391293485915,0.002455795677799607
125,1.3842508638729922,0.8641560188298588
126,3.736126791260557,0.0
127,2.84462440884122,0.184053651266766
128,nan,nan
129,2.942883013260531,0.14223002633889376
130,3.941257918604927,0.0
131,4.1326326237006725,0.0
132,5.867894443197455,0.0
133,2.9195064538140003,0.04022815971179826
134,3.317249509329566,0.0
135,4.020682835883915,0.0022313765877102643
136,nan,nan
137,3.957578529974844,0.0
138,nan,nan
139,3.075560705610508,0.015454545454545455
140,nan,nan
141,2.8314242841396515,0.03225806451612903
142,2.694750983035248,0.016593207155820584
143,5.911165598717679,0.0
144,3.3143247146872095,0.03765690376569038
145,nan,nan
146,3.862340701051995,0.0010460251046025104
147,3.6814205668890083,0.0
148,3.3239671016842354,0.0
149,5.717935804551891,0.0
150,2.403782160155835,0.045516074450084605
151,nan,nan
152,4.36202309773441,0.0
153,nan,nan
154,6.147218023893209,0.0
155,2.661271623198223,0.00045004500450045
156,3.3624666334691318,0.04596412556053812
157,2.4235431435732075,0.009002057613168725
158,2.8337408312958434,0.0
159,nan,nan
160,3.204046190891945,0.0
161,nan,nan
162,3.5236847374483786,0.0004828585224529213
163,3.5829953625938846,0.0
164,1.7769004823649182,0.011428571428571429
165,nan,nan
166,3.329751420783598,0.0017376194613379669
167,6.809421486761766,0.0
168,0.5816804699786686,0.012126865671641791
169,1.5537206297698927,0.13096200485044462
170,nan,nan
171,3.947817168912683,0.007371007371007371
172,2.90077995947069,0.000484027105517909
173,nan,nan
174,3.2953463722408594,0.0
175,4.02242220115783,0.0
176,3.4126757445023697,0.0
177,2.570605026743462,0.2601078167115903
178,3.0363751326436192,0.0
179,3.6936919314024705,0.0
180,5.89161784926256,0.0
181,5.563187358586423,0.0
182,2.9268557238513018,0.0018912529550827422
183,nan,nan
184,3.4718765765887962,0.0
185,3.2918073474277656,0.003568242640499554
186,4.626985700555319,0.0
187,3.3137310314602475,0.016520392359318535
188,3.7056928369070556,0.0
189,3.0852685967863023,0.004744958481613286
190,nan,nan
191,3.425085024579282,0.007587253414264037
192,3.4830004480291636,0.004162330905306972
193,1.5162934939323522,0.005934718100890208
194,2.822025711768486,0.0012738853503184713
195,nan,nan
196,3.145041845911006,0.001365001365001365
197,4.0628202731675715,0.0
198,3.128276325570557,0.04059539918809202
199,3.4247780004926587,0.021243723445345693
200,nan,nan
201,4.017602927584066,0.0
202,2.979323636222042,0.0
203,4.120961122925903,0.0
204,3.7140740819639775,0.0
205,3.300675753968831,0.0
206,3.8582801107268327,0.0
207,4.952347382887542,0.0
208,2.564781588746177,0.0008648025367541078
209,3.1012097154438703,0.0026917900403768506
210,2.823955745909837,0.002830455703368242
211,2.962908730421961,0.0
212,3.4726179210976005,0.0
213,4.1008183270105265,0.0
214,3.236558093201426,0.0
215,4.102578880966371,0.003784295175023652
216,3.3222890255623896,0.002904865649963689
217,4.993533935297768,0.0
218,2.9050099895198285,0.0109375
219,3.16748128475095,0.004312410158121706
220,5.866191728527363,0.0
221,5.1318003770172185,0.0
222,4.211914620347351,0.0
223,2.679475468801818,0.37026239067055394
224,3.0133879725927,0.7082810539523212
225,3.9886885422430174,0.004608294930875576
226,3.7505474022703624,0.0
227,4.762981078736397,0.0
228,3.6109665464630725,0.03789611238157465
229,4.481327443300023,0.0
230,2.012219180008188,0.18673395818312905
231,2.930891735403444,0.024346257889990983
232,nan,nan
233,2.4606159799815175,0.0
234,3.673077766372694,0.0
235,3.0344802748081454,0.0
236,2.723919231660594,0.0
237,4.471771316045781,0.008722421754746024
238,2.089948462977652,0.37084282460136675
239,3.4928575431565365,0.00078125
240,5.279116529231821,0.002352941176470588
241,3.7698088093895055,0.0
242,2.677687408878195,0.00029607698001480384
243,1.9268707673663465,0.2571315372424723
244,3.6886203912735382,0.01667849538679915
245,3.047135739777897,0.037142857142857144
246,3.0043662846927996,0.002150537634408602
247,2.3566947583282074,0.2524357838795394
248,2.90487843671615,0.00181422351233672
249,3.9501744982092353,0.0
250,2.129946945299922,0.23533724340175954
251,3.066985784283304,0.0
252,4.156952211837112,0.0
253,nan,nan
254,1.1992594672633388,0.0
255,4.485038188531525,0.0
256,2.9231206562984706,0.0019439044709802832
257,3.51657887323879,0.03430217334380728
258,3.4531100157029204,0.0
259,4.561346579223636,0.0
260,3.8995934298982067,0.0
261,3.0221573584776653,0.0
262,3.4474044146657987,0.0012782275244993609
263,3.673079199241665,0.02492877492877493
264,3.344897062945227,0.0
265,nan,nan
266,3.7126718189546293,0.0
267,3.5487544453417317,0.01589825119236884
268,2.6408547765507624,0.04825090470446321
269,nan,nan
270,3.174929371215424,0.0
271,nan,nan
272,4.616496312890589,0.0
273,2.8858818083175284,0.07540263543191801
274,nan,nan
275,2.109303385259016,0.016184721622788088
276,nan,nan
277,4.206313656082996,0.0
278,4.044815230764255,0.0
279,nan,nan
280,2.6193441776322937,0.027098231087692888
281,5.426365407484777,0.0
282,7.595317141569512,0.0
283,nan,nan
284,8.347474721047968,0.0
285,4.258145289787605,0.0
286,2.954663392873014,0.01223021582733813
287,2.6670516902974826,0.0009973404255319148
